Tienda,Ticket,Material,Grupo art.,Denominacion 2 del gr.articulos,Producto,Venta,Fecha Vta,Hora Vta,Cantidad,UMB
TIENDA 1,2133644,3000059,600202,Refrescos - Coca Cola - Colas,Producto 10,16.71,01/06/2024,02:01:31,1,PZ
TIENDA 1,2133644,4302422,8666,COMIDA RAPIDA - BAKES,Producto 45,66.83,01/06/2024,02:01:31,1,PZ
TIENDA 1,2133645,3000208,600602,Refrescos - Pe�afiel - Sabores,Producto 51,21.1,01/06/2024,02:02:07,1,PZ
TIENDA 1,2133645,3000208,600602,Refrescos - Pe�afiel - Sabores,Producto 51,21.1,01/06/2024,02:02:07,1,PZ
TIENDA 1,2133646,3500138,7004,Tabaco - Tabacos Pm,Producto 52,73.86,01/06/2024,02:04:27,1,PZ
TIENDA 1,2133646,4302422,8666,COMIDA RAPIDA - BAKES,Producto 45,69.46,01/06/2024,02:04:27,1,PZ
TIENDA 1,2133647,4301695,8646,COMIDA RAPIDA - EUROPASTRY,Producto 53,23.46,01/06/2024,02:10:35,1,PZ
TIENDA 1,2133647,4101298,8202,Bebidas Calientes - Americano,Producto 54,21.98,01/06/2024,02:10:35,1,PZ
TIENDA 1,2133648,2500506,5002,Pan y Galletas - Pan,Producto 55,9.45,01/06/2024,02:13:23,1,PZ
TIENDA 1,2133648,2500506,5002,Pan y Galletas - Pan,Producto 55,9.45,01/06/2024,02:13:23,1,PZ
TIENDA 1,2133648,3000704,600204,Refrescos - Coca Cola - Sabores,Producto 56,28.14,01/06/2024,02:13:23,1,PZ
TIENDA 1,2133649,2200076,440206,Lacteos y Embutidos - Lacteos - Postres,Producto 57,11.22,01/06/2024,02:14:40,1,PZ
TIENDA 1,2133649,2200076,440206,Lacteos y Embutidos - Lacteos - Postres,Producto 57,11.22,01/06/2024,02:14:40,1,PZ
TIENDA 1,2133649,2200069,440206,Lacteos y Embutidos - Lacteos - Postres,Producto 58,22.44,01/06/2024,02:14:40,1,PZ
TIENDA 1,2133649,3000252,600204,Refrescos - Coca Cola - Sabores,Producto 59,19.35,01/06/2024,02:14:40,1,PZ
TIENDA 1,2133650,3000692,600804,Refrescos - Regionales - Sabores,Producto 60,15.83,01/06/2024,02:29:23,1,PZ
TIENDA 1,2133650,4200171,8404,Bebidas Frias - Frappes,Producto 8,30.77,01/06/2024,02:29:23,1,PZ
TIENDA 1,2133690,2000000,4002,Hielo - Hielo,Producto 3,31.62,01/06/2024,06:52:17,1,PZ
TIENDA 1,2133690,2000000,4002,Hielo - Hielo,Producto 3,31.62,01/06/2024,06:52:17,1,PZ
TIENDA 1,2133651,3000055,600202,Refrescos - Coca Cola - Colas,Producto 61,40.45,01/06/2024,02:38:57,1,PZ
TIENDA 1,2133651,1703370,3404,Dulces - Goma De Mascar,Producto 17,13.19,01/06/2024,02:38:57,1,PZ
TIENDA 1,2133652,1700406,3406,Dulces - Pastillas Refrescantes,Producto 62,11.33,01/06/2024,02:41:28,1,PZ
TIENDA 1,2133652,1700413,3406,Dulces - Pastillas Refrescantes,Producto 63,11.33,01/06/2024,02:41:28,1,PZ
TIENDA 1,2133652,4302422,8666,COMIDA RAPIDA - BAKES,Producto 45,69.46,01/06/2024,02:41:28,1,PZ
